feature,type
compound_mean,other
compound_std,other
positive_mean,other
negative_mean,other
neutral_mean,other
total_tweets,other
engagement_score_sum,other
sentiment_positive_ratio,sentiment
sentiment_negative_ratio,sentiment
sentiment_neutral_ratio,sentiment
sentiment_volatility,sentiment
weighted_sentiment,sentiment
sentiment_ma_7,sentiment
sentiment_ma_14,sentiment
sentiment_momentum,sentiment
Close,price
High,other
Low,other
Open,other
Volume,other
btc_return,other
price_ma_7,price
price_ma_21,price
volatility,other
sentiment_change,sentiment
sentiment_momentum_3d,sentiment
sentiment_momentum_7d,sentiment
sentiment_momentum_14d,sentiment
sentiment_volatility_lag_1d,sentiment
sentiment_volatility_lag_3d,sentiment
sentiment_volatility_lag_7d,sentiment
sentiment_ma_3d,sentiment
sentiment_ratio_3d,sentiment
sentiment_std_3d,sentiment
sentiment_ma_7d,sentiment
sentiment_ratio_7d,sentiment
sentiment_std_7d,sentiment
sentiment_ma_14d,sentiment
sentiment_ratio_14d,sentiment
sentiment_std_14d,sentiment
sentiment_ma_21d,sentiment
sentiment_ratio_21d,sentiment
sentiment_std_21d,sentiment
sentiment_z_score_7d,sentiment
sentiment_percentile_14d,sentiment
volume_weighted_sentiment,sentiment
engagement_per_tweet,other
engagement_sentiment_ratio,sentiment
sentiment_polarity_strength,sentiment
sentiment_uncertainty,sentiment
sentiment_conviction,sentiment
compound_mean_lag_1d,other
sentiment_positive_ratio_lag_1d,sentiment
weighted_sentiment_lag_1d,sentiment
compound_mean_lag_2d,other
sentiment_positive_ratio_lag_2d,sentiment
weighted_sentiment_lag_2d,sentiment
compound_mean_lag_3d,other
sentiment_positive_ratio_lag_3d,sentiment
weighted_sentiment_lag_3d,sentiment
compound_mean_lag_7d,other
sentiment_positive_ratio_lag_7d,sentiment
weighted_sentiment_lag_7d,sentiment
sentiment_change_1d,sentiment
sentiment_change_3d,sentiment
sentiment_acceleration,sentiment
sentiment_regime_bull,sentiment
sentiment_regime_bear,sentiment
sentiment_return_interaction,sentiment
sentiment_volatility_interaction,sentiment
price_sentiment_divergence,sentiment
sentiment_rsi,sentiment
sentiment_bb_upper,sentiment
sentiment_bb_lower,sentiment
sentiment_bb_position,sentiment
sentiment_trend_strength,sentiment
