feature,importance
UPPER_WICK,36.42286377991067
LOWER_WICK,31.03596417288254
VOLUME_RATIO,29.450871412834744
RETURN_3D,27.831557555373855
RETURN_1D,23.416639984233885
ROC_10,20.02081315311878
MACD_HISTOGRAM,18.44492658955791
VOLATILITY_7D,18.414256663673356
BODY_SIZE,17.831209314770742
BB_WIDTH,17.822441018933908
STOCH_D,17.456566704589967
Volume,17.06394716326995
RETURN_7D,16.41521057747706
ADX,16.21771650683513
MACD_SIGNAL,14.413874573265351
RETURN_14D,14.230007853827539
STOCH_K,14.210644673217136
VOLATILITY_30D,14.030805657493818
ROC_20,13.813558328057102
ADX_NEG,13.648888336588831
DIST_SMA_200,13.271034315873624
RETURN_30D,12.213213338614858
BB_PERCENT,11.974439689813881
MACD,10.812335906028741
ADX_POS,10.026178810339593
DIST_SMA_20,10.018664603814827
VOLUME_SMA_20,9.261387335317702
RSI_14,9.043207994709746
VOLATILITY_14D,9.036794591496193
RSI_7,9.014257441248853
RSI_21,8.853169945522971
ATR,8.652288606421813
DAY,8.411202611521272
DIST_SMA_50,8.11514175657157
High,8.026590511712396
SMA_100,7.228448488099109
Open,6.8410815170817845
CCI,6.669822995407037
BB_LOW,6.490932657636337
DAY_OF_WEEK_SIN,5.83809143430337
EMA_12,5.819091509136166
SMA_5,5.647406581718369
BB_HIGH,5.077469371058441
SMA_10,5.015038997873178
DAY_OF_WEEK,5.0129623978400275
MONTH_COS,4.839148445890663
SMA_50,4.6177947008746685
DAY_OF_WEEK_COS,4.426089541467986
SMA_200,4.24743786505319
Low,4.2160629549521085
WILLIAMS_R,3.6075608800799124
MONTH,2.6137085425113353
MONTH_SIN,2.4153542042547094
EMA_50,2.4108218534943218
YEAR,1.8376543547979824
SMA_20,1.8060936139584545
EMA_26,1.0182081327445573
IS_FRIDAY,1.0054930923644476
LOW_VOLATILITY,0.8213268446527835
HIGH_VOLATILITY,0.41644053096287986
STRONG_UPTREND,0.2261798221658753
QUARTER,0.21887861843797798
IS_MONDAY,0.21850097481530212
BULL_MARKET_50,0.06035155513238475
SMA_CROSS_20_50,0.05647585041169621
SMA_CROSS_50_200,0.05301522559382395
BULLISH_CANDLE,0.033994962318060575
BULL_MARKET_20,0.030940570224090747
LOG_RETURN_1D,0.025262262859230205
IS_WEEKEND,0.017667245075935395
BULL_MARKET_200,0.016461801423752094
EMA_CROSS_12_26,0.016287611161023185
LOG_RETURN_7D,0.015160683506082287
MOMENTUM_REGIME,0.01294809142884679
STRONG_DOWNTREND,0.012164925374812684
PRICE_POSITION_14D,0.0078004908194092
BB_MID,0.0029908800853192855
avg_sentiment,0.0
avg_confidence,0.0
sentiment_volume,0.0
positive_ratio,0.0
negative_ratio,0.0
